Smedegårdsvej (Tranholmvej / Aalborg),851985400,57032762,10015601
Astrupstien (Smedegårdsvej / Aalborg),851981900,57034111,10007466
Fåborgvej (Aalborg),851450500,57032708,10019601
Ingstrupvej (Saltumvej / Aalborg),851982100,57034893,10009515
Labyrinten (Klarupvej / Klarup),851100300,57014415,10051216
Nørholm Bygade (Aalborg Kommune),851081300,57036816,9735803
Nørholm (Aalborg Kommune),851200200,57036681,9739614
Oldenborrevej (Nørholmsvej / Aalborg),851944900,57038497,9759399
Myggevej (Nørholmsvej / Aalborg),851944800,57038353,9763822
Humlebivej (Nørholmsvej / Aalborg),851059700,57038183,9769269
Ferskenvej (Nørholmsvej / Aalborg),851949600,57038713,9854298
Filippavej (Nørholmsvej / Aalborg),851089300,57038767,9862946
Nørholmsvej (Under Lien / Aalborg),851949400,57038767,9869454
Hundeklemmen (Svalegårdsvej / Aalborg),851949300,57040915,9872430
Hasseris Bymidte (Hasserisvej / Aalborg),851102000,57035378,9883783
Mølholmsvej v/ Løvstikkevej,851003000,57044313,9863872
Jakob Skomager Vej (Svalegårdsvej / Aalborg),851088900,57039945,9879720
Otiumgården (Stolpedalsvej / Aalborg),851933700,57034425,9891406
Fyrrebakken (Hasserisvej / Aalborg),851001500,57039684,9886174
Bejsebakkevej (Aalborg),851933500,57034695,9898993
Ungdomsgården (Kornblomstvej / Aalborg),851933100,57032807,9904890
Provstejorden (Hobrovej / Aalborg),851806000,57030317,9907631
Bakkebo (Kornblomstvej / Aalborg),851103200,57034695,9904314
Skipperen (Hobrovej / Aalborg),851003500,57033490,9908602
Enggårdsgade (Aalborg),851951000,57032457,9916432
Mølleparkvej (Aalborg),851933400,57036097,9907919
Zoo (Bejsebakkevej / Aalborg),851933600,57037958,9902696
Sygehus Syd (Hobrovej / Aalborg),851300500,57038605,9910112
Eternitten (Sønderbro / Aalborg),851210800,57037697,9931462
Østre Allé (Aalborg),851030700,57038057,9935839
Østre Allé (Bornholmsgade / Aalborg),851008900,57038210,9935723
Hadsundvej (Humlebakken / Aalborg),851008200,57033769,9954285
Kærvanghus (Sønderbro / Aalborg),851210700,57039756,9931776
Filstedvej (Hadsundvej /Aalborg),851007700,57035630,9953485
Grønlands Torv (Sohngårdsholmsvej / Aalborg),851017600,57024339,9942249
Ullavej (Humlebakken / Aalborg),851971100,57033742,9960209
Elisevej (Humlebakken / Aalborg),851009100,57032448,9965962
Hermodsgade (Hadsundvej /Aalborg),851006300,57039396,9952335
Sofievej (Aalborg),851971700,57035036,9966457
Kaj Munks Vej (Nørre Tranders Vej / Aalborg),851971600,57036655,9965261
Chr. Kolds Vej (Nørre Tranders Vej / Aalborg),851971500,57037895,9961683
Resenvej (Struervej / Aalborg),851981200,57035279,9985055
Agri College Aalborg (Struervej / Aalborg),851981100,57037428,9981963
Aftenvej (Aalborg),851981000,57039981,9979033
Saltumvej (Aalborg),851072400,57037392,10008985
Skallerupvej (Aalborg),851070800,57039100,10013974
Hornevej (Øster Uttrup Vej / Aalborg),851985300,57040268,10015538
Strandbyvej (Øster Uttrup Vej / Aalborg),851985500,57038758,10022522
Svanningevej (Aalborg),851900100,57038012,10024590
Lindskovvej (Mølholmsvej / Aalborg),851403000,57045850,9866739
Vestre Fælledvej (Mølholmsvej / Aalborg),851947900,57047576,9870389
Norden (Mølholmsvej / Aalborg),851948000,57049176,9874956
Langersvej (Hasserisvej / Aalborg),851941300,57041581,9888889
Vesterkæret (Annebergvej / Aalborg),851914300,57050039,9879558
Fjordparken (Aalborg),851021900,57053006,9874389
Højmarksvej  (Hasserisvej / Aalborg),851941200,57043073,9892727
Fjordglimt ( Annebergvej / Aalborg),851947800,57050696,9884709
Constancevej (Hasserisvej / Aalborg),851941100,57044439,9896853
Bartholine Jørgensens Minde (Annebergvej / Aal,851947700,57051262,9889069
Skovbakkevej (Hasserisvej / Aalborg),851941000,57045149,9901941
Borgmestervænget (Anders Borchs Vej / Aalborg),851905200,57046552,9908045
Borgmestervænget (Anders Borks vej / Aalborg),851087700,57046947,9908485
Sankt Jørgens Gade (Hasserisgade / Aalborg),851000700,57046624,9911605
Prinsensgade (Aalborg),851100700,57045788,9915245
Politigården (Jyllandsgade / Aalborg),851012200,57042506,9925151
Boulevarden (Aalborg),851007400,57046237,9918913
Brandstationen (Jyllandsgade / Aalborg),851023100,57042435,9930509
Vingårdsgade (Aalborg),851101100,57047019,9918472
Bornholmsgade (Aalborg),851210400,57042102,9934105
Karolinelundsvej (Aalborg),851211300,57043064,9934087
Sjællandsgade (Aalborg),851901200,57041679,9939606
Turøgade (Langelandsgade / Aalborg),851002100,57041706,9942752
Nordkraft (Østerbro / Aalborg),851210500,57046093,9933925
Medborgerhuset (Nytorv / Aalborg),851302200,57047217,9927776
Petersborgvej (Odinsgade / Aalborg),851007200,57040142,9947409
Vejgaard Bymidte (Odinsgade / Aalborg),851007600,57040367,9949755
Bonnesensgade (Østerbro / Aalborg),851902300,57046012,9937404
