25,Ferslev Skole (Rævedalsvej / Ferslev),"851033600,851992700,851992800,851992900,851009800,851012500,851008700,851100300,851805400,851012600,851983900,851060800,851983600,851983500,851982900,851013900,851009100,851971100,851008200,851108200,851008900,851210400,851211300,851210500,851302200,851000200,851007400,972800025,851300500,851003500,851951000,851102700,851951200,851951300,851951900,851102800,851102900,851101500,851935200,851935300,851935400,851940000,851935500,851220300,851940100,851940200,851100600,851110800,851103900,851932400,851932500,851000900,851152000,851932800,851060200,851060400","0,1,0,1,1,1,0,1,1,1,4,0,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,6,2,2,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,2,3,1,2"
25,Postvej (Klarupvej / Klarup),"851060400,851060200,851932800,851152000,851000900,851932500,851932400,851995200,851103900,851110800,851940200,851940300,851220300,851935500,851940000,851935400,851935300,851935200,851101500,851102900,851102800,851951300,851951200,851102700,851951000,851003500,851300500,972800025,851007400,851000200,851302200,851210500,851210400,851008900,851108200,851008200,851971100,851009100,851013900,851982900,851983500,851983600,851060800,851012600,851008500,851033600,851992700,851992800,851992900,851009800,851012500,851008700,851100300,851805400","0,0,0,3,2,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,7,1,1,1,1,1,0,2,1,0,1,1,1,1,1,1,-1435,1,1,0,1,1,1,1,1,0,2"
26,Aalborg Busterminal (Område C),"851110300,851924600,851110400,851919600,851700200,851919400,851919700,851910000,851500100,851919200,851919000,851918900,851918200,851010400,851150100,851918500,851918300,851918100,851600200,851917800,851917700,851914100,851400300,851803000,851803300,851013100,851803100,851803200,851092600,851201300,851805900,851802800,851802700,851001200,851002400,851801200,851007400,972800025","0,0,0,2,1,2,1,1,1,1,0,0,1,1,2,1,1,1,0,1,2,0,1,3,1,0,1,0,1,1,0,1,1,0,2,1,2,1"
26,Ultvedvej (Luneborgvej / Tylstrup),"972800025,851007400,851801200,851002400,851001200,851802700,851802800,851805900,851092500,851803200,851803100,851013100,851803300,851803000,851400300,851914100,851917700,851917800,851600200,851918100,851918300,851918500,851150100,851010400,851918200,851918900,851919000,851919200,851500100,851910000,851919700,851919400,851700200,851919600,851110400,851924600,851110300","0,2,1,2,3,0,0,1,1,1,1,0,1,1,1,2,1,1,0,1,1,1,0,4,1,1,0,0,0,1,0,0,2,1,2,0,0"
27,Løvenborgparken (Nørresundby),"851070800,851985300,851985500,851985400,851981900,851260800,851981500,851071400,851981200,851981100,851981000,851972000,851002900,851070000,851973400,851972400,851003200,851212900,851902400,851902300,851211300,851023100,851012200,972800025,851007400,851801200,851002400,851101300,851212800,851916300,851283800,851915900,851002200,851283100,851924300,851920900,851214000,851520300,851520100,851214100,851915300,851019100,851520000,851011900","0,1,1,1,1,0,1,2,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,6,1,1,1,3,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1"
27,Skallerupvej (Aalborg),"851011900,851520000,851019100,851915300,851214100,851520100,851520300,851214000,851921400,851920900,851924300,851283100,851002200,851915900,851283800,851916300,851212800,851101300,851002400,851801200,851007400,972800025,851012200,851211300,851902300,851902400,851212900,851003200,851972400,851973400,851070000,851002900,851972000,851981000,851981100,851981200,851071400,851981500,851260800,851981900,851985400,851985500,851985300,851070800","0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,2,2,1,6,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1"
2A,Aabybro,"851035200,851033600,851992700,851992800,851992900,851009800,851012500,851008700,851100300,851805400,851012600,851000300,851992000,851991600,851008000,851991500,851991200,851991300,851991400,851009300,851017600,851009200,851108200,851008900,851210400,851023100,851012200,972800025,851007400,851801200,851002400,851001400,851802900,851805200,851220500,851700300,851500200,851910200,851910100,851806100,851710300,851800300,851500500,851804600,851804700,851804800,851806200,849100200,849800300,849800400,849800700,849800500,849200100,849800600,849800800,849800200,849800100,849000100","0,1,1,1,1,0,1,1,0,1,1,6,0,1,1,1,0,1,1,1,1,1,1,2,1,2,1,4,2,2,1,2,1,1,2,1,0,1,0,1,1,7,1,1,0,1,1,3,1,0,4,1,1,0,1,4,1,2"
2A,Klarup,"849000100,849800100,849800200,849800800,849800600,849200100,849800500,849800700,849800400,849800300,849100200,851806200,851804800,851804700,851804600,851500500,851800300,851710300,851806100,851910100,851910200,851500200,851700300,851220500,851805200,851802900,851001400,851002400,851801200,851007400,972800025,851012200,851023100,851210400,851008900,851108200,851009200,851017600,851009300,851991400,851991300,851991200,851991500,851008000,851991600,851992000,851000300,851012600,851805400,851100300,851008700,851012500,851009800,851992900,851992800,851992700,851033600,851035200","2,1,4,1,0,1,1,4,0,1,3,1,1,0,1,1,7,1,1,0,1,0,1,2,1,1,2,1,2,2,4,1,2,1,2,1,1,1,1,1,1,0,1,1,1,0,6,1,1,0,1,1,0,1,1,1,1,0"
2B,Nørhalne,"851035200,851033600,851992700,851992800,851992900,851009800,851012500,851008700,851100300,851805400,851012600,851000300,851992000,851991600,851008000,851991500,851991200,851991300,851991400,851009300,851017600,851009200,851108200,851008900,851210400,851023100,851012200,972800025,851007400,851801200,851002400,851001400,851802900,851805200,851220500,851700300,851500200,851910200,851910100,851806100,851710300,851800300,851500500,851804600,851804700,851804800,851806200,849100200,849800300","0,1,0,1,1,1,1,1,0,1,1,6,1,0,1,1,0,1,1,1,1,1,1,1,1,3,1,4,2,2,1,2,1,1,2,0,1,1,0,1,1,7,1,1,1,0,1,3,1"
2B,Klarup,"849800300,849100200,851806200,851804800,851804700,851804600,851500500,851800300,851710300,851806100,851910100,851910200,851500200,851700300,851220500,851805200,851802900,851001400,851002400,851801200,851007400,972800025,851012200,851023100,851210400,851008900,851108200,851009200,851017600,851009300,851991400,851991300,851991200,851991500,851008000,851991600,851992000,851000300,851012600,851805400,851100300,851008700,851012500,851009800,851992900,851992800,851992700,851033600,851035200","1,3,1,0,1,1,1,7,1,1,0,1,1,0,2,1,1,2,1,2,2,4,1,3,1,1,1,1,1,1,1,1,0,1,1,0,1,6,1,1,0,1,1,1,1,1,0,1,0"
2C,Uttrup Nord,"851021300,851994300,851994200,851994100,851994000,851804200,851804300,851008600,851400800,851000300,851992000,851991600,851008000,851991500,851991200,851991300,851991400,851009300,851017600,851009200,851108200,851008900,851210400,851023100,851012200,972800025,851007400,851801200,851002400,851001400,851802900,851805200,851700400,851012900,851012800,851214000,851520300,851520100,851214100,851915300,851019100,851520000,851011900","0,0,1,1,1,1,0,1,1,2,1,0,1,1,1,1,1,1,2,1,2,2,2,1,2,4,2,2,1,3,1,2,1,1,0,2,1,2,1,1,1,1,1"
2C,Gistrup,"851011900,851520000,851019100,851915300,851214100,851520100,851520300,851214000,851012800,851012900,851700400,851805200,851802900,851001400,851002400,851801200,851007400,972800025,851012200,851023100,851210400,851008900,851108200,851009200,851017600,851009300,851991400,851991300,851991200,851991500,851008000,851991600,851992000,851000300,851400800,851008600,851804300,851804200,851994000,851994100,851994200,851994300,851021300","1,1,1,1,1,2,1,2,0,1,1,2,1,3,1,2,2,4,2,1,2,2,2,1,2,1,1,1,1,1,1,0,1,2,1,1,0,1,1,1,1,0,0"
2H,Klarup,"849000100,849800100,849800200,849800800,849800600,849200100,849800500,849800700,849800400,849800300,849100200,851806200,851804800,851804700,851804600,851500500,851800300,851000800,851710300,851806100,851910100,851910200,851500200,851700300,851220500,851805200,851802900,851001400,851002400,851801200,851007400,972800025,851012200,851210400,851008900,851108200,851009200,851017600,851009300,851991400,851991300,851991200,851991500,851008000,851991600,851992000,851000300,851012600,851008500,851805400,851100300,851008700,851012500,851009800,851992900,851992800,851992700,851033600,851004600,851035200","0,1,1,4,1,1,0,1,4,1,0,3,1,1,0,1,1,1,6,0,1,1,1,1,1,1,1,1,3,1,2,7,1,2,1,2,1,1,1,1,1,1,1,1,1,1,0,4,1,0,1,1,1,0,1,1,1,1,1,2"
2H,Aabybro,"851035200,851004600,851033600,851992700,851992800,851992900,851009800,851012500,851008700,851100300,851805400,851008500,851012600,851000300,851992000,851991600,851008000,851991500,851991200,851991300,851991400,851009300,851017600,851009200,851108200,851008900,851210400,851012200,972800025,851007400,851801200,851002400,851001400,851802900,851805200,851220500,851700300,851500200,851910200,851910100,851806100,851710300,851000800,851800300,851500500,851804600,851804700,851804800,851806200,849100200,849800300,849800400,849800700,849800500,849200100,849800600,849800800,849800200,849800100,849000100","2,1,1,1,1,1,0,1,1,1,0,1,4,0,1,1,1,1,1,1,1,1,1,1,2,1,2,1,7,2,1,3,1,1,1,1,1,1,1,1,0,6,1,1,1,0,1,1,3,0,1,4,1,0,1,1,4,1,1,0"
